SKU	INVENTORY	LIVE_INVENTORY	ITEM_ID	MEMO	TITLE	GROUP_NAME	GROUP_INVENTORY	MARKETPLACE_ID	COST	CURRENCY	MIN_PRICE	MAX_PRICE	CURRENT_PRICE	CURRENT_SHIPPING	MANUAL_PRICE	ORIGINAL_PRICE	MAP_PRICE	HANDLING_DAYS	LISTING_TYPE	STRATEGY_ID  
1002FBA	666.00000	666.00000	B001J3ZZ4I	-	GD Molcajete Mexican Mortar and Pestle 8.5 in - Handmade	-	-	9914	-	-	27.45500	37.14500	32.30000	0	32.30000	32.30000	-	-	Amazon MFN	31327  
1254FBA	216.00000	216.00000	B006NPWO0K	-	B&B Picamas Green Hot sauce 19 oz - Salsa verde picante	-	-	9914	-	-	6.00950	8.13050	7.07000	0	7.07000	7.07000	-	-	Amazon MFN	31327  
1528FBA	0.00000	0.00000	B00RERNKLI	-	Chiltepe Hot Sauce Mi Guatemala 8 Ounces	-	-	9914	-	-	8.12600	10.99400	9.56000	0	9.56000	9.56000	-	-	Amazon MFN	31327  
500001	72.00000	72.00000	B00HX0S4CG	-	B&B Picamas Red Hot sauce 7.5 oz - Salsa Roja picante	-	-	9914	-	-	13.71050	18.54950	16.13000	0	16.13000	16.13000	-	-	Amazon MFN	31327  
500002	72.00000	72.00000	B00HX0TG14	-	B&B Picamas Red Hot sauce 7.5 oz - Salsa Roja picante	-	-	9914	-	-	14.49250	19.60750	17.05000	0	17.05000	17.05000	-	-	Amazon MFN	31327  
500003	72.00000	72.00000	B00HX1C05C	-	B&B Picamas Red Hot sauce 7.5 oz - Salsa Roja picante	-	-	9914	-	-	21.34350	28.87650	25.11000	0	25.11000	25.11000	-	-	Amazon MFN	31327  
500005	48.00000	48.00000	B00GTU1MFW	-	B&B Picamas Green Hot sauce 7.5 oz - Salsa verde picante	-	-	9914	-	-	4.38600	5.93400	5.16000	0	5.16000	5.16000	-	-	Amazon MFN	31327  
500006	48.00000	48.00000	B00GM2BKMC	-	B&B Picamas Green Hot sauce 7.5 oz - Salsa verde picante	-	-	9914	-	-	8.94200	12.09800	10.52000	0	10.52000	10.52000	-	-	Amazon MFN	31327  
500007	48.00000	48.00000	B00GM2EJEI	-	B&B Picamas Green Hot sauce 7.5 oz - Salsa verde picante	-	-	9914	-	-	10.12350	13.69650	11.91000	0	11.91000	11.91000	-	-	Amazon MFN	31327  
500008	48.00000	48.00000	B00GM2NCMS	-	B&B Picamas Green Hot sauce 7.5 oz - Salsa verde picante	-	-	9914	-	-	13.59150	18.38850	15.99000	0	15.99000	15.99000	-	-	Amazon MFN	31327  
500009	48.00000	48.00000	B00GM2P7RG	-	B&B Picamas Green Hot sauce 7.5 oz - Salsa verde picante	-	-	9914	-	-	16.50700	22.33300	19.42000	0	19.42000	19.42000	-	-	Amazon MFN	31327  
500010	48.00000	48.00000	B00JJOV3NG	-	B&B Picamas Green Hot sauce 7.5 oz - Salsa verde picante	-	-	9914	-	-	47.42150	64.15850	55.79000	0	55.79000	55.79000	-	-	Amazon MFN	31327  
500012	216.00000	216.00000	B006NPWO0K	-	B&B Picamas Green Hot sauce 19 oz - Salsa verde picante	-	-	9914	-	-	6.00950	8.13050	7.07000	0	7.07000	7.07000	-	-	Amazon MFN	31327  
500013	0.00000	0.00000	B005F5KHHQ	-	B&B Orgeat with Coconut Concentrate 29 oz - Concentrado de Horchata y Coco	-	-	9914	-	-	11.58550	15.67450	13.63000	0	13.63000	13.63000	-	-	Amazon MFN	31327  
500014	0.00000	0.00000	B005F5KHEE	-	B&B Orgeat Concentrate 29 oz - Concentrado de Horchata	-	-	9914	-	-	11.58550	15.67450	13.63000	0	13.63000	13.63000	-	-	Amazon MFN	31327  
500015	15.00000	15.00000	B009ECARM6	-	Palmolive Brillantine 1.75 oz - Brillantina	-	-	9914	-	-	7.66700	10.37300	9.02000	0	9.02000	9.02000	-	-	Amazon MFN	31327  
500019	29.00000	29.00000	B000XPE6SE	-	Perlop Concha Nacar Night No. 2  2 oz - Crema de Noche Natural	-	-	9914	-	-	136.90100	185.21900	161.06000	0	161.06000	161.06000	-	-	Amazon MFN	31327  
500024	29.00000	29.00000	B00BTGF3U6	-	Perlop Concha Nacar Night No. 2  2 oz - Crema de Noche Natural	-	-	9914	-	-	136.90100	185.21900	161.06000	0	161.06000	161.06000	-	-	Amazon MFN	31327  
500025	29.00000	29.00000	B00F7A0BPC	-	Perlop Concha Nacar Night No. 2  2 oz - Crema de Noche Natural	-	-	9914	-	-	136.90100	185.21900	161.06000	0	161.06000	161.06000	-	-	Amazon MFN	31327  
500026	29.00000	29.00000	B000XPE6SE	-	Perlop Concha Nacar Night No. 2  2 oz - Crema de Noche Natural	-	-	9914	-	-	136.90100	185.21900	161.06000	0	161.06000	161.06000	-	-	Amazon MFN	31327  
500029	29.00000	29.00000	B00371SXIK	-	Perlop Concha Nacar Night No. 2  2 oz - Crema de Noche Natural	-	-	9914	-	-	0.00000	0.00000	0.00000	0	0.00000	0.00000	-	-	Amazon MFN	31327  
500035	3.00000	3.00000	B00F78IFAC	-	Perlop Concha Nacar Day No.1  2 oz - Crema de Dia Natural	-	-	9914	-	-	139.48500	188.71500	164.10000	0	164.10000	164.10000	-	-	Amazon MFN	31327  
500037	3.00000	3.00000	B00BTGGJ6I	-	Perlop Concha Nacar Day No.1  2 oz - Crema de Dia Natural	-	-	9914	-	-	139.48500	188.71500	164.10000	0	164.10000	164.10000	-	-	Amazon MFN	31327  
500038	3.00000	3.00000	B00BTGKFKO	-	Perlop Concha Nacar Day No.1  2 oz - Crema de Dia Natural	-	-	9914	-	-	0.00000	0.00000	0.00000	0	0.00000	0.00000	-	-	Amazon MFN	31327  
500039	1.00000	1.00000	B00CFD4JZW	-	Urania 7 Machos Cologne 3.72 oz - Colonia 7 Machos.	-	-	9914	-	-	11.11800	15.04200	13.08000	0	13.08000	13.08000	-	-	Amazon MFN	31327  
500040	45.00000	45.00000	B0050DEPMQ	-	Asepxia Soap Moisturizing (purple) 3.53 oz - Jabon Humectante Morado	-	-	9914	-	-	109.59900	148.28100	128.94000	0	128.94000	128.94000	-	-	Amazon MFN	31327  
500043	45.00000	45.00000	B0050DEPMQ	-	Asepxia Soap Moisturizing (purple) 3.53 oz - Jabon Humectante Morado	-	-	9914	-	-	109.59900	148.28100	128.94000	0	128.94000	128.94000	-	-	Amazon MFN	31327  
500044	45.00000	45.00000	B00ZSUFXJ0	-	Asepxia Soap Moisturizing (purple) 3.53 oz - Jabon Humectante Morado	-	-	9914	-	-	109.59900	148.28100	128.94000	0	128.94000	128.94000	-	-	Amazon MFN	31327  
500046	45.00000	45.00000	B00A6D4AFC	-	Asepxia Soap Moisturizing (purple) 3.53 oz - Jabon Humectante Morado	-	-	9914	-	-	0.00000	0.00000	0.00000	0	0.00000	0.00000	-	-	Amazon MFN	31327  
500047	3.00000	3.00000	B0050DEPMQ	-	Asepxia Soap  Scrub (blue) 3.52 oz - Jabon Exfoliante Azul	-	-	9914	-	-	8.65300	11.70700	10.18000	0	10.18000	10.18000	-	-	Amazon MFN	31327  
500048	3.00000	3.00000	B00EDS1U2W	-	Asepxia Soap  Scrub (blue) 3.52 oz - Jabon Exfoliante Azul	-	-	9914	-	-	0.00000	0.00000	0.00000	0	0.00000	0.00000	-	-	Amazon MFN	31327  
500049	3.00000	3.00000	B00BDLUFB4	-	Asepxia Soap  Scrub (blue) 3.52 oz - Jabon Exfoliante Azul	-	-	9914	-	-	0.00000	0.00000	0.00000	0	0.00000	0.00000	-	-	Amazon MFN	31327  
500051	0.00000	0.00000	B0050DFHKA	-	Asepxia Soap  Neutral 4 oz	-	-	9914	-	-	9.14600	12.37400	10.76000	0	10.76000	10.76000	-	-	Amazon MFN	31327  
500053	9.00000	9.00000	B00H922CVM	-	Asepxia Soap Herbal 4 oz - Jabon de Hierbas	-	-	9914	-	-	9.14600	12.37400	10.76000	0	10.76000	10.76000	-	-	Amazon MFN	31327  
500054	24.00000	24.00000	B00CPS1BCG	-	Asepxia Soap Neutral (white) 3.52 oz - Jabon Natural Blanco	-	-	9914	-	-	0.00000	0.00000	0.00000	0	0.00000	0.00000	-	-	Amazon MFN	31327  
500055	0.00000	0.00000	B016IP543S	-	Palmolive Oats and Sugar Soap 6.34 oz - Jabon de Avena y Azucar	-	-	9914	-	-	5.91600	8.00400	6.96000	0	6.96000	6.96000	-	-	Amazon MFN	31327  
500056	0.00000	0.00000	B010190GYY	-	Palmolive Aloe and Olive Extracts Soap 6.34 oz	-	-	9914	-	-	4.50500	6.09500	5.30000	0	5.30000	5.30000	-	-	Amazon MFN	31327  
